sample_source,month,ticker,adj_close,up_day_volume_ratio_3m,up_day_dollar_volume_ratio_3m,rel_mom_12m_vs_qqq,mom_12m,mom_9m,volume_change_3m,dollar_volume_change_3m,mom_7m,mom_6m,mom_4m_vs_6m,mom_5m_vs_6m,mom_6m_first3m,mom_6m_acceleration,ret_lag_6m,rel_mom_6m_vs_qqq,mom_3m_vs_6m,return_vol_ratio_6m,drawdown_12m,drawdown_12m_abs,volume_change_1m,dollar_volume_change_1m,ma100_slope_1m,volume_ma3_to_12m,mom_5m,core_mom_456_std,ret_lag_5m,price_ma100_ratio,drawdown_change_3m,mom_4m,core_mom_456_avg,core_mom_456_min,core_mom_456_max,ret_lag_4m,ma50_slope_1m,volume_ratio_3m,mom_6m_last3m,ret_lag_3m,rel_mom_3m_vs_qqq,mom_3m,volatility_6m,return_vol_ratio_3m,volatility_1m_to_6m,volatility_3m_to_6m,avg_abs_daily_return_6m,drawdown_6m,drawdown_6m_abs,recovery_from_6m_low,avg_dollar_volume_6m,dollar_volume_3m_to_6m,large_move_freq_6m,up_big_move_freq_6m,down_big_move_freq_6m,intraday_range_mean_6m,volume_ma1_to_6m,ma30_slope_1m,drawdown_change_1m,price_ma50_ratio,atr_14_to_100d,ret_lag_2m,ret_lag_6m_std,mom_2m,ma20_slope_1m,volatility_3m,volatility_1m_to_3m,avg_abs_daily_return_3m,ma10_slope_1m,drawdown_3m,drawdown_3m_abs,recovery_from_3m_low,days_since_3m_high_norm,days_since_3m_low_norm,avg_dollar_volume_3m,log_avg_dollar_volume_3m,large_move_freq_3m,up_big_move_freq_3m,down_big_move_freq_3m,intraday_range_mean_3m,price_ma30_ratio,ma5_slope_1m,return_vol_ratio_1m,ret_lag_1m,positive_month_ratio_6m,ret_lag_6m_mean,ret_lag_6m_min,ret_lag_6m_max,rel_mom_1m_vs_qqq,mom_1m,price_ma20_ratio,volatility_1m,avg_abs_daily_return_1m,drawdown_1m,drawdown_1m_abs,recovery_from_1m_low,avg_dollar_volume_1m,price_ma10_ratio,atr_14_to_price,price_ma5_ratio,qqq_mom_1m,qqq_mom_3m,qqq_mom_6m,qqq_mom_12m,source_count,source_weight_sum,theme_count,in_large_cap_core,in_manual_core,trading_day_count_3m,trading_day_count_6m,liquid_vol_score,future_return_1m,future_return_2m,future_return_3m,future_max_return_1_3m,future_max_return_1_3m_pct_rank,monthly_top10_threshold_1_3m,monthly_top5_threshold_1_3m,label_top10_1_3m,label_top5_1_3m,label_boom30_top10_1_3m,label_boom40_top10_1_3m,label_boom50_top5_1_3m,label_mega100_1_3m
historical_mega100_examples,2016-01-31,FCX,4.142923831939697,1.0196245552559053,0.9923875504400603,-0.7622630878501404,-0.7218643258259709,-0.7996266809665364,0.927503747198196,-0.24668494724594847,-0.7495870712221585,-0.6069920019135772,0.08354976850750873,0.0409998692962088,0.005587750066855746,-0.6147635797641706,-0.09446803244251412,-0.5422500010975505,-0.002183827783737713,-0.6458523301682427,-0.8029295701374893,0.8029295701374893,0.7202501973843001,0.16885541698593864,-0.10596111185041379,1.1824812713666863,-0.5659921326173684,0.041777280553861415,-0.08928592123346113,-0.47576768859886276,-0.5052136183125754,-0.5234422334060684,-0.5654754559790046,-0.6069920019135772,-0.5234422334060684,0.2193661569724501,-0.2916099710145924,0.25398228065275097,-0.6091758296973149,-0.30501248312140394,-0.530803347054598,-0.6091758296973149,0.9398309389941466,-0.6442886788812704,1.3171980094913232,1.0060334604228598,0.04302328231651718,-0.6576839683398465,0.6576839683398465,0.22994643473573295,345503070.1738267,0.8436337345394711,0.5396825396825397,0.11904761904761904,0.20634920634920634,0.07318008564079877,1.1320343290332306,-0.27009873923630123,-0.13313105057661234,-0.27609217672458664,1.0468874302865803,-0.1723718896804889,0.19680028705509167,-0.4376529638143756,-0.3160031208190859,0.945501371768747,1.3092984093567557,0.047215310670268656,-0.3666467661425936,-0.6293311686804639,0.6293311686804639,0.22994643473573295,0.9365079365079365,0.1746031746031746,291478045.38559836,19.490475248347842,0.6031746031746031,0.09523809523809523,0.2857142857142857,0.0804001227050565,-0.1550848316285235,-0.38145198394252633,-0.258922761813703,-0.32053173499806964,0.16666666666666666,-0.12705065075058128,-0.32053173499806964,0.2193661569724501,-0.2514273634295169,-0.32053173499806964,-0.04206584857434992,1.237943442101451,0.0631273831022692,-0.32053173499806964,0.32053173499806964,0.22994643473573295,281595767.9711751,0.08337252476223611,0.14363355310360476,0.054561972807982695,-0.06910437156855276,-0.0783724826427169,-0.06474200081602666,0.04039876202416948,1.0,3.0,1.0,1.0,0.0,63.0,126.0,0.9451452612237123,0.6586956013812073,1.247826138499859,2.0434790715511744,2.0434790715511744,0.9976415094339622,0.2614488254952996,0.2925320212511146,1,1,1,1,1,1
historical_mega100_examples,2016-01-31,LEU,1.3700000047683716,,,-0.700448406330882,-0.6600496443067125,-0.7375478812580426,3.1711711711711708,1.1164831198045997,-0.6682808797079587,-0.6522842677990056,0.10146460425374626,0.013761845254849026,-0.3147208100325568,-0.17787178975510942,-0.03807108964187478,-0.587542266982979,0.15969166801133938,-0.7965876857464621,-0.7566607501029476,0.7566607501029476,1.392764857881137,1.4833998003388227,-0.19794164284476556,1.0986706609249204,-0.6385224225441566,0.05503972540690709,-0.195250664112128,-0.3699121522548703,-0.1870973700516717,-0.5508196635452594,-0.6138754512961405,-0.6522842677990056,-0.5508196635452594,-0.11475406888671102,-0.3114052494366252,0.8936605316973416,-0.49259259978766623,-0.3777778081933162,-0.41422011714494933,-0.49259259978766623,0.818848043310846,-0.5330736242502262,1.1331762593761696,1.1284891108797082,0.03753176348947247,-0.6522842677990056,0.6522842677990056,0.3173077452112254,84978.92850533365,0.8755218018444355,0.46825396825396826,0.10317460317460317,0.1746031746031746,0.08637090804220866,2.664748201438849,-0.16824643971645525,0.09818179824135487,-0.009972536757208328,0.8180466504364898,-0.21428565853306858,0.1463768616670471,-0.18452378122511814,-0.20257888729369222,0.9240611003414454,1.0041534725069767,0.044795624734714656,-0.2579155577850244,-0.5018181800842285,0.5018181800842285,0.3173077452112254,0.9523809523809523,0.14285714285714285,74400.90460379918,11.217236820006951,0.5873015873015873,0.14285714285714285,0.23809523809523808,0.11301476931572967,0.06449106451505449,-0.21715814798299393,0.04082205456323748,0.03787875024959453,0.16666666666666666,-0.15037675651958402,-0.3777778081933162,0.03787875024959453,0.10698312181814729,0.03787875024959453,0.1659574449521053,0.9278991627164802,0.045666570332735086,-0.007246369925949403,0.007246369925949403,0.3173077452112254,55745.33319984163,0.21777776911229285,0.12043796523243058,0.1729451789151759,-0.06910437156855276,-0.0783724826427169,-0.06474200081602666,0.04039876202416948,1.0,3.0,1.0,0.0,1.0,63.0,126.0,0.6456082708704469,-0.036496315432303805,2.2919709585288284,1.3284671869470528,2.2919709585288284,1.0,0.2614488254952996,0.2925320212511146,1,1,1,1,1,1
yearly_top_future_return_examples,2016-01-31,TRGP,14.128581047058104,1.1904545480883166,1.0883311095105646,-0.7619243932455282,-0.7215256312213587,-0.771441025951161,3.131095123900879,0.6892166310512278,-0.7310936283877189,-0.73135816879905,0.1925650460278957,0.09105192743152091,-0.3430179773571078,-0.2480791578121867,-0.25313735711649143,-0.6666161679830234,0.1402610336297555,-0.8869388647544953,-0.7744831371208024,0.7744831371208024,0.5532846715328468,0.3414041800333456,-0.18590852609673147,1.8997812078126766,-0.6403062413675291,0.09632987048667908,-0.2201032196360877,-0.4428045640249685,-0.29413882840316763,-0.5387931227711543,-0.6368191776459112,-0.73135816879905,-0.5387931227711543,0.12791304952044102,-0.31212349866461764,0.5196169033016886,-0.5910971351692945,-0.3123361340418569,-0.5127246525265776,-0.5910971351692945,0.8245868997988829,-0.5798394013463489,1.5705194725668634,1.2362738992388334,0.03750629014815049,-0.73135816879905,0.73135816879905,0.45872697835701914,35357621.635305315,1.039325254924768,0.4365079365079365,0.09523809523809523,0.15079365079365079,0.0672843371059247,2.114751702569199,-0.301795565937644,-0.019062559764531972,-0.16994675047365781,0.9138204889778364,-0.31145021034625686,0.16634391887022035,-0.40537392602275446,-0.26719429770716263,1.019415261875626,1.2703653078284862,0.046633280977728085,-0.2538643131580902,-0.5985431629839495,0.5985431629839495,0.45872697835701914,0.9523809523809523,0.12698412698412698,36748069.11964719,17.419596268493127,0.5079365079365079,0.12698412698412698,0.19047619047619047,0.08529118875083815,0.007683017741747289,-0.16431212922164606,-0.10533195837494867,-0.13640802319281786,0.16666666666666666,-0.18425364913551165,-0.3123361340418569,0.12791304952044102,-0.0673036516242651,-0.13640802319281786,0.09077976664261,1.2950297829576867,0.05868508636367298,-0.13640802319281786,0.13640802319281786,0.45872697835701914,37844073.620619096,0.1624025454817959,0.10819069219475266,0.03807078880661208,-0.06910437156855276,-0.0783724826427169,-0.06474200081602666,0.04039876202416948,1.0,3.0,1.0,1.0,0.0,63.0,126.0,0.6906406507344292,0.19626205822236575,0.3288830812187553,0.8439711773782206,0.8439711773782206,0.9952830188679245,0.2614488254952996,0.2925320212511146,1,1,1,1,1,0
historical_mega100_examples,2016-02-29,LEU,1.3200000524520874,1.2674367211773785,1.3560958507117105,-0.6385992853529556,-0.6834532306231449,-0.725,3.5064935064935066,2.5408165777795477,-0.6649746108421877,-0.65171502223269,0.14060392191418924,0.08450193144219009,-0.5567282415679715,0.34244258303490294,-0.195250664112128,-0.6397621236799553,0.4374293636996214,-0.7674436586731228,-0.7655417361242507,0.7655417361242507,-0.25053995680345575,-0.2778924869438648,-0.18131717989614993,1.4181240063593006,-0.5672130907904999,0.07077837783065333,-0.11475406888671102,-0.265646700929992,0.2922343900997455,-0.5111111003185007,-0.5766797377805635,-0.65171502223269,-0.5111111003185007,-0.3777778081933162,-0.0751072927521047,0.03736920777279518,-0.21428565853306858,-0.21428565853306858,-0.11599619158714314,-0.21428565853306858,0.849202433126462,-0.24063249294512998,1.1075157937794633,1.048642864067242,0.03974201209600528,-0.65171502223269,0.65171502223269,0.26923086622057957,81496.63483888384,0.7180315963264146,0.5158730158730159,0.1111111111111111,0.19047619047619047,0.09915699224096977,1.5370985603543743,-0.034937885635803134,0.2518182139505042,0.020881707711476016,0.7311896312204296,0.03787875024959453,0.1466197168786567,0.0,0.10902895773861654,0.8905100716466038,1.056142021015504,0.04385551849716202,0.1350364743983643,-0.24999996613372433,0.24999996613372433,0.26923086622057957,0.9841269841269841,0.4603174603174603,58517.15880859466,10.977092392038191,0.6190476190476191,0.14285714285714285,0.1746031746031746,0.1225267889677249,0.06194693914949845,0.06227756172803245,-0.0388050156966652,-0.036496315432303805,0.16666666666666666,-0.1501142941513222,-0.3777778081933162,0.03787875024959453,-0.020842922916397888,-0.036496315432303805,0.013824921922378941,0.9405051068035053,0.044702696906548864,-0.09589039865545002,0.09589039865545002,0.17857147038591137,42760.000313463664,0.0610932950399361,0.10064936032542897,0.10552767682261921,-0.015653392515905917,-0.09828946694592544,-0.011952898552734625,-0.044853945270189266,1.0,3.0,1.0,0.0,1.0,63.0,126.0,0.6464539007092198,2.41666670429586,1.4166666139857957,1.2954544325669652,2.41666670429586,1.0,0.26150880190213605,0.3279681739417037,1,1,1,1,1,1
yearly_top_future_return_examples,2016-02-29,DVN,13.514753341674805,0.7870936376793461,0.8422909319289369,-0.6289011519445458,-0.673755097214735,-0.6932106936353115,3.0579249608461767,0.747520183009996,-0.5966501280245735,-0.5327345255413802,0.005282124106909203,0.06694637224020739,0.08503938929123023,-0.6543955997013913,-0.12531802252964586,-0.5207816269886456,-0.03662168486878081,-0.8106372407686598,-0.7101433937935642,0.7101433937935642,0.5862087322219167,0.11887397760121621,-0.09342012639816366,1.8199543427220513,-0.46578815330117285,0.03722050753963951,0.13049319967022766,-0.42616439459813704,-0.5371610078017806,-0.527452401434471,-0.5086583600923413,-0.5327345255413802,-0.46578815330117285,0.09730503490042386,-0.23790364674117914,0.5961074904026427,-0.569356210410161,-0.29976620863607684,-0.4710667434642356,-0.569356210410161,0.6571799304905267,-0.6965019933084208,1.1277970945690814,1.2438769108649268,0.032438511638771414,-0.5851356730053455,0.5851356730053455,0.05522802760895029,181067859.274099,1.185948105273662,0.4444444444444444,0.07142857142857142,0.1349206349206349,0.05486720794785524,2.1309208801163315,-0.19090340446820664,-0.16194871957622847,-0.2304743747777721,0.8145427521545134,-0.1281248757739769,0.18504401897492143,-0.38499998871658825,-0.18383516760961272,0.8174509418209837,0.9066790168047016,0.04363456437400973,-0.18795594281747796,-0.5738025732362045,0.5738025732362045,0.05522802760895029,0.9523809523809523,0.09523809523809523,214737084.6320758,19.184924980266338,0.6666666666666666,0.1111111111111111,0.25396825396825395,0.06980721101806485,-0.13637481406419505,-0.21241142529448587,-0.39751404683278924,-0.29462374347547005,0.3333333333333333,-0.10333910264075302,-0.29976620863607684,0.13049319967022766,-0.27897035095956413,-0.29462374347547005,-0.10085655456864973,0.7411656162163268,0.04203151331310169,-0.29462374347547005,0.29462374347547005,0.05522802760895029,288988270.0999896,-0.006512143416803173,0.08286150298056708,0.005620905311340296,-0.015653392515905917,-0.09828946694592544,-0.011952898552734625,-0.044853945270189266,1.0,3.0,1.0,1.0,0.0,63.0,126.0,0.8925531914893617,0.4093549713271507,0.7812116168190153,0.8536315014219635,0.8536315014219635,0.9976415094339622,0.26150880190213605,0.3279681739417037,1,1,1,1,1,0
yearly_top_future_return_examples,2016-02-29,FCX,6.871849536895752,1.0416502316197658,1.1157600166547552,-0.596608447387311,-0.6414623926575003,-0.6064132410077306,0.44076150377350753,0.3438883819397309,-0.3481193622664165,-0.28011305940759057,-0.07162860839788565,0.07057733066099692,-0.22822058363375008,0.16098313900460404,-0.08928592123346113,-0.26816016085485594,0.21287561477844452,-0.29049347270559844,-0.6731201448247499,0.6731201448247499,0.16855485006301874,0.9382767897722053,-0.10464743467849114,1.2272731855774868,-0.20953572874659365,0.07110361716990678,0.2193661569724501,-0.03440932334783653,0.30723889015548167,-0.3517416678054762,-0.2804634853198868,-0.3517416678054762,-0.20953572874659365,-0.30501248312140394,-0.11022424190281666,0.27484939628796234,-0.06723744462914605,-0.1723718896804889,0.031052022316779393,-0.06723744462914605,0.9642662769620027,-0.056445230753713896,1.3431394820543123,1.2353413206166186,0.045757815327197644,-0.4322019040030335,0.4322019040030335,1.0401067412306584,342877016.86911374,0.8841045425215469,0.5714285714285714,0.15079365079365079,0.20634920634920634,0.07699048945009661,1.3792885024906718,0.0022389906082649347,0.5452974275833088,0.33163455284221355,1.099976380301261,-0.32053173499806964,0.3782709965344291,0.12703102243682252,0.2540473710690867,1.1911979760083107,1.0872618438634323,0.0570843118415603,0.7154063209591064,-0.08403374109715511,0.08403374109715511,1.0401067412306584,0.9523809523809523,0.49206349206349204,303139128.1402205,19.52970243016634,0.6190476190476191,0.19047619047619047,0.2698412698412698,0.09282294863443627,0.38207941842844595,0.7314418517921022,0.5085886562071459,0.6586956013812073,0.3333333333333333,-0.001523378446627699,-0.32053173499806964,0.6586956013812073,0.6743489938971132,0.6586956013812073,0.23903863720850027,1.2951441078011845,0.06479342664829763,-0.037830898263593316,0.037830898263593316,0.7540229463963559,316139972.0933744,0.057519101303668,0.08912185969556041,0.041780407493484883,-0.015653392515905917,-0.09828946694592544,-0.011952898552734625,-0.044853945270189266,1.0,3.0,1.0,1.0,0.0,63.0,126.0,0.9446808510638298,0.3551770057315391,0.8348629302548629,0.452162616966268,0.8348629302548629,0.9952830188679245,0.26150880190213605,0.3279681739417037,1,1,1,1,1,0
yearly_top_future_return_examples,2016-02-29,OKE,12.729609489440918,1.0607633399184548,1.1197157721950495,-0.3717290345356934,-0.41658297980588266,-0.3916890401274886,0.9040137252246152,0.5924197031623968,-0.3354139792880406,-0.3025630304922087,0.02943706703292348,0.08252251549313949,-0.1660932354800987,0.0024420926683734745,-0.10580359246870508,-0.29061013193947405,0.13891188768048346,-0.43593645691649774,-0.4943794828110518,0.4943794828110518,0.13509003310634404,0.0936231024231462,-0.08167290061282684,1.3719183063252045,-0.22004051499906918,0.04182218573324954,0.0730325280468902,-0.08740079208757778,0.07765827252154356,-0.2731259634592852,-0.2652431696501877,-0.3025630304922087,-0.22004051499906918,-0.1308961203290263,-0.05735551461532451,0.06875491015991275,-0.16365114281172521,-0.16350063970087847,-0.06536167586579977,-0.16365114281172521,0.694053056797137,-0.1868344592614707,1.1393471069561352,1.262029165850299,0.032748819999394274,-0.3654699965544753,0.3654699965544753,0.3024597412656749,47904444.67944191,1.1184003722497458,0.42857142857142855,0.09523809523809523,0.1111111111111111,0.05391024922265398,1.3453066432729883,0.00295590406001911,0.0924411978713644,0.07565675828569218,1.0370702695845095,0.0377302792844989,0.0953343726354938,-0.0001799201744671075,-0.015342898051237341,0.8759152003255409,0.9027898386076475,0.04272164700574386,-0.025033501961405857,-0.16365114281172521,0.16365114281172521,0.3024597412656749,0.9682539682539683,0.746031746031746,53576348.761905186,17.796618292882528,0.6031746031746031,0.15873015873015872,0.1746031746031746,0.06822691335548656,0.07545649728541548,-0.053560248073800554,-0.04619796603946434,-0.03653184282635047,0.3333333333333333,-0.05432823133226187,-0.16350063970087847,0.0730325280468902,-0.020878450310444552,-0.03653184282635047,0.08120275164595014,0.7907673423358803,0.039276708823588184,-0.06029775155127337,0.06029775155127337,0.22324145036808685,52269219.28459349,0.10487059647359409,0.06660710854939589,0.07903964687852705,-0.015653392515905917,-0.09828946694592544,-0.011952898552734625,-0.044853945270189266,1.0,3.0,1.0,1.0,0.0,63.0,126.0,0.7143026004728132,0.24416691895235254,0.5316608234529867,0.8324847019728776,0.8324847019728776,0.9929245283018868,0.26150880190213605,0.3279681739417037,1,1,1,1,1,0
yearly_top_future_return_examples,2016-08-31,LEU,3.4600000381469727,0.9702916563201588,1.0251205334387867,-0.21582078285499584,-0.08707122085159846,1.0595238965317262,-0.6697819314641744,-0.6229192935580391,1.5255474643096525,1.6212120459537345,-1.5365725550184983,-1.8540280409531826,1.2954544325669652,-1.153540217775744,2.41666670429586,1.4788074375600306,-1.4792978311625131,0.8396622903700316,-0.23956046305392498,0.23956046305392498,0.5820895522388059,0.7377872207523462,0.00501980660415513,0.02032194624517445,-0.23281599499944805,0.9915688897757599,-0.29268295003804123,0.04107117095161983,0.24459230552343525,0.08463949093523615,0.4910118472965075,-0.23281599499944805,1.6212120459537345,-0.050156765818399784,0.03070308199436278,0.13978494623655924,0.14191421479122135,0.08250825160415176,0.08381964557483235,0.14191421479122135,1.9307905863430892,0.23431084432172555,0.21960646256231356,0.3136883117598532,0.04868507649582884,-0.23956046305392498,0.23956046305392498,1.306666692097982,1409973.0943534109,0.10638769951503246,0.42857142857142855,0.11904761904761904,0.11904761904761904,0.09464821778647156,0.012182274407646484,0.011405341397151103,0.06828032459729372,0.01645124476427995,0.712582047592934,-0.039634108889109565,1.0127914199767396,0.05487806961197439,0.030792011981537915,0.6056664393917807,0.7000785631134232,0.026099347350929565,0.05768062659065598,-0.08947366274624957,0.08947366274624957,0.10191080336048697,0.20634920634920634,0.3333333333333333,150003.7938863512,11.918422531810048,0.30158730158730157,0.07936507936507936,0.09523809523809523,0.06292643104693958,0.017846642867701545,0.08947698837109286,0.23209765771027735,0.09841267726799252,0.5,0.36918563473707566,-0.29268295003804123,2.41666670429586,0.08791192447740959,0.09841267726799252,-0.0061754897428513145,0.42401409061542106,0.01753658572199023,-0.08947366274624957,0.08947366274624957,0.09841267726799252,143722.3343292872,-0.006888627154622351,0.05181665997349003,0.0005783684411466705,0.010500752790582935,0.058094569216389,0.14240460839370384,0.12874956200339738,1.0,3.0,1.0,0.0,1.0,63.0,126.0,0.6518834470761408,0.1502890101715153,0.12138730394895592,0.8815029355804032,0.8815029355804032,1.0,0.2008106021302872,0.2757783443445378,1,1,1,1,1,0
historical_mega100_examples,2017-01-31,PLUG,1.059999942779541,1.170937617604106,1.261697026681986,-0.642773401562196,-0.43315511225849535,-0.48543690668782646,9.079554586155435,5.983220578012788,-0.4301075620284063,-0.4078212483970012,0.02770424204196098,0.09169220026090386,-0.14525139441573054,-0.16193817251171616,-0.13407822047565432,-0.4947898292971724,0.10063168146955448,-0.8330568814801046,-0.5225225544509902,0.5225225544509902,1.003856950498665,0.7700734737194082,-0.06046848315886255,2.06107198537713,-0.3161290481360973,0.04702737396601125,0.10322586500185893,-0.2576511346504501,-0.19982315583468635,-0.3801170063550402,-0.36802243429604625,-0.4078212483970012,-0.3161290481360973,-0.10526319458580713,-0.0842665206412937,0.7176756742657417,-0.3071895669274467,-0.10457514353811614,-0.37513034214221275,-0.3071895669274467,0.489547901786033,-0.5751263319305925,0.8632685086262271,1.0910584473599427,0.021927968046391553,-0.39080463392540155,0.39080463392540155,0.0,3705988.8325195466,1.3026598404503602,0.25396825396825395,0.03968253968253968,0.047619047619047616,0.04884068474161139,2.6041552355671556,-0.12126285754236943,-0.010168028307466548,-0.18985023748888663,0.6943124447850636,-0.12408755948391248,0.09058272862665134,-0.22627741672252244,-0.13064046805072593,0.5341253736309869,0.7912211400911622,0.02549512726923765,-0.12586340964807707,-0.32051283226916116,0.32051283226916116,0.0,0.5714285714285714,0.015873015873015872,4827642.821280729,15.38986908492404,0.3333333333333333,0.047619047619047616,0.047619047619047616,0.05637499913351565,-0.13445839734640763,-0.13112165133003673,-0.27606160322436357,-0.11666674945089228,0.16666666666666666,-0.08024083375542057,-0.13407822047565432,0.10322586500185893,-0.168067860764317,-0.11666674945089228,-0.11259945249652725,0.42261128707592743,0.018970802282058014,-0.18461539872299337,0.18461539872299337,0.0,3811955.611013231,-0.06935911650654858,0.049191386636747166,-0.03636366749598041,0.05140111131342473,0.06794077521476605,0.08696858090017123,0.20961828930370063,1.0,3.0,1.0,0.0,1.0,63.0,126.0,0.6443469560532594,0.01886802001456611,0.3018868582322567,1.113207670240996,1.113207670240996,1.0,0.16222783396162566,0.20073168364734661,1,1,1,1,1,1
historical_mega100_examples,2017-02-28,PLUG,1.0800000429153442,1.2976653153993782,1.403937931234424,-0.7633861769228173,-0.4807691910915811,-0.4374999650754028,2.372170071783545,1.6583531456701115,-0.3966480078595551,-0.30322575732894885,0.009108151519015228,-0.06519528429530919,-0.11612900199056442,-0.09554980154495685,0.10322586500185893,-0.42596018645093936,0.09154695379342759,-0.391233932008224,-0.5135135004518676,0.5135135004518676,-0.1653588146190904,-0.14961078802834238,-0.07444289869086429,2.323892585861278,-0.36842104162425804,0.04052650180695129,-0.10526319458580713,-0.18742002364237464,-0.09504857505288788,-0.2941176058099336,-0.32192146825438017,-0.36842104162425804,-0.2941176058099336,-0.10457514353811614,-0.12245206072111914,0.07295123570062079,-0.21167880353552126,-0.12408755948391248,-0.3215038841722302,-0.21167880353552126,0.7750497401196144,-0.22561960573175666,1.9657375664336696,1.2105171903407987,0.02833345101077071,-0.3793103235655252,0.3793103235655252,0.27058825014371735,5362452.730908469,1.3540791932842442,0.3253968253968254,0.05555555555555555,0.07142857142857142,0.058722005319395774,1.7598437487492695,-0.12657211916412003,0.01282057748038623,-0.07088777860504003,1.5184187271654976,-0.11666674945089228,0.09386319360356578,-0.09999999999999998,-0.1293923085426979,0.9382110337839618,1.6238824050736962,0.03196418440132941,-0.041631246973241165,-0.30769225478877493,0.30769225478877493,0.27058825014371735,0.873015873015873,0.19047619047619047,7261185.667893432,15.798053826321896,0.3492063492063492,0.047619047619047616,0.07936507936507936,0.06550858379163514,-0.007352895859087161,2.0987551252460435e-08,0.012384292927933513,0.01886802001456611,0.3333333333333333,-0.05474979367371716,-0.12408755948391248,0.10322586500185893,-0.024882467117382623,0.01886802001456611,0.025641066280226443,1.5235443900077787,0.05079459867766306,-0.09999999999999998,0.09999999999999998,0.27058825014371735,12678898.552016417,-0.04255316113389551,0.11177249005757509,-0.04929574804394987,0.043750487131948734,0.10982508063670893,0.12273442912199051,0.2826169858312362,1.0,3.0,1.0,0.0,1.0,63.0,126.0,0.6544496487119438,0.27777772258829403,1.0740740004880958,0.7222221670327384,1.0740740004880958,1.0,0.15900214499822515,0.2136065570870634,1,1,1,1,1,1
