feature,feature_group,missing_count,missing_rate,non_null_rows,non_null_rate,first_valid_month,last_valid_month,dropped,drop_reason
drawdown_1m,risk_drawdown,26,0.0005046975696870875,51490,0.9994953024303129,2016-01-31,2026-06-30,False,
drawdown_1m_abs,risk_drawdown,26,0.0005046975696870875,51490,0.9994953024303129,2016-01-31,2026-06-30,False,
recovery_from_1m_low,drawdown_recovery,26,0.0005046975696870875,51490,0.9994953024303129,2016-01-31,2026-06-30,False,
avg_dollar_volume_1m,liquidity_size_proxy,26,0.0005046975696870875,51490,0.9994953024303129,2016-01-31,2026-06-30,False,
price_ma10_ratio,trend,15,0.0002911716748194736,51501,0.9997088283251805,2016-01-31,2026-06-30,False,
atr_14_to_price,vol_structure,15,0.0002911716748194736,51501,0.9997088283251805,2016-01-31,2026-06-30,False,
price_ma5_ratio,trend,6,0.00011646866992778943,51510,0.9998835313300722,2016-01-31,2026-06-30,False,
qqq_mom_1m,qqq_context,0,0.0,51516,1.0,2016-01-31,2026-06-30,False,
qqq_mom_3m,qqq_context,0,0.0,51516,1.0,2016-01-31,2026-06-30,False,
qqq_mom_6m,qqq_context,0,0.0,51516,1.0,2016-01-31,2026-06-30,False,
qqq_mom_12m,qqq_context,0,0.0,51516,1.0,2016-01-31,2026-06-30,False,
source_count,etf_source,0,0.0,51516,1.0,2016-01-31,2026-06-30,False,
source_weight_sum,etf_source,0,0.0,51516,1.0,2016-01-31,2026-06-30,False,
theme_count,etf_source,0,0.0,51516,1.0,2016-01-31,2026-06-30,False,
in_core_growth,etf_source,0,0.0,51516,1.0,2016-01-31,2026-06-30,False,
in_large_cap_core,etf_source,0,0.0,51516,1.0,2016-01-31,2026-06-30,False,
in_manual_core,etf_source,0,0.0,51516,1.0,2016-01-31,2026-06-30,False,
trading_day_count_3m,liquidity_size_proxy,0,0.0,51516,1.0,2016-01-31,2026-06-30,False,
trading_day_count_6m,liquidity_size_proxy,0,0.0,51516,1.0,2016-01-31,2026-06-30,False,
liquid_vol_score,volatility_amplitude_frequency,0,0.0,51516,1.0,2016-01-31,2026-06-30,False,
