metric,value
raw_rows,56213
clean_rows,56213
raw_columns,136
clean_columns,125
raw_tickers,451
clean_tickers,451
months,128
first_month,2016-01-31 00:00:00
last_month,2026-08-31 00:00:00
candidate_features,109
kept_features,109
dropped_features,0
