ticker,source_count,source_weight_sum,theme_count,sources,categories,in_large_cap_core,in_manual_core
BDX,1,3.0,1,SPY,large_cap_core,1,0
BE,1,3.0,1,manual,manual_core,0,1
BEN,1,3.0,1,SPY,large_cap_core,1,0
BF-B,1,3.0,1,SPY,large_cap_core,1,0
BG,1,3.0,1,SPY,large_cap_core,1,0
BIIB,1,3.0,1,SPY,large_cap_core,1,0
BKNG,1,3.0,1,SPY,large_cap_core,1,0
BKR,1,3.0,1,SPY,large_cap_core,1,0
BLDR,1,3.0,1,SPY,large_cap_core,1,0
BLK,1,3.0,1,SPY,large_cap_core,1,0
BMY,1,3.0,1,SPY,large_cap_core,1,0
BNY,1,3.0,1,SPY,large_cap_core,1,0
BR,1,3.0,1,SPY,large_cap_core,1,0
BRK-B,1,3.0,1,SPY,large_cap_core,1,0
BRO,1,3.0,1,SPY,large_cap_core,1,0
BSX,1,3.0,1,SPY,large_cap_core,1,0
BX,1,3.0,1,SPY,large_cap_core,1,0
BXP,1,3.0,1,SPY,large_cap_core,1,0
C,1,3.0,1,SPY,large_cap_core,1,0
CAH,1,3.0,1,SPY,large_cap_core,1,0
CARR,1,3.0,1,SPY,large_cap_core,1,0
CASY,1,3.0,1,SPY,large_cap_core,1,0
CAT,1,3.0,1,SPY,large_cap_core,1,0
CB,1,3.0,1,SPY,large_cap_core,1,0
CBOE,1,3.0,1,SPY,large_cap_core,1,0
CBRE,1,3.0,1,SPY,large_cap_core,1,0
CCI,1,3.0,1,SPY,large_cap_core,1,0
CCL,1,3.0,1,SPY,large_cap_core,1,0
CDNS,1,3.0,1,SPY,large_cap_core,1,0
CDW,1,3.0,1,SPY,large_cap_core,1,0
CF,1,3.0,1,SPY,large_cap_core,1,0
CFG,1,3.0,1,SPY,large_cap_core,1,0
CHD,1,3.0,1,SPY,large_cap_core,1,0
CHRW,1,3.0,1,SPY,large_cap_core,1,0
CHTR,1,3.0,1,SPY,large_cap_core,1,0
CI,1,3.0,1,SPY,large_cap_core,1,0
CIEN,1,3.0,1,SPY,large_cap_core,1,0
CINF,1,3.0,1,SPY,large_cap_core,1,0
CL,1,3.0,1,SPY,large_cap_core,1,0
CLX,1,3.0,1,SPY,large_cap_core,1,0
CMCSA,1,3.0,1,SPY,large_cap_core,1,0
CME,1,3.0,1,SPY,large_cap_core,1,0
CMG,1,3.0,1,SPY,large_cap_core,1,0
CMI,1,3.0,1,SPY,large_cap_core,1,0
CMS,1,3.0,1,SPY,large_cap_core,1,0
CNC,1,3.0,1,SPY,large_cap_core,1,0
CNP,1,3.0,1,SPY,large_cap_core,1,0
COF,1,3.0,1,SPY,large_cap_core,1,0
COHR,1,3.0,1,SPY,large_cap_core,1,0
COO,1,3.0,1,SPY,large_cap_core,1,0
COP,1,3.0,1,SPY,large_cap_core,1,0
COR,1,3.0,1,SPY,large_cap_core,1,0
COST,1,3.0,1,SPY,large_cap_core,1,0
